Time: 0m30s - Junction D: 1 cars through from North, 0 cars waiting.
Time: 53m0s - Junction D: 2 cars through from North, 0 cars waiting.
Time: 53m30s - Junction D: 3 cars through from North, 0 cars waiting.
Time: 54m0s - Junction D: 0 cars through from North, 0 cars waiting.
Time: 54m30s - Junction D: 0 cars through from North, 1 cars waiting.
Time: 55m0s - Junction D: 4 cars through from North, 0 cars waiting.
Time: 55m30s - Junction D: 3 cars through from North, 0 cars waiting.
Time: 56m0s - Junction D: 3 cars through from North, 0 cars waiting.
Time: 56m30s - Junction D: 1 cars through from North, 0 cars waiting.
Time: 57m0s - Junction D: 4 cars through from North, 0 cars waiting.
Time: 57m30s - Junction D: 4 cars through from North, 0 cars waiting.
Time: 58m0s - Junction D: 0 cars through from North, 0 cars waiting.
Time: 58m30s - Junction D: 0 cars through from North, 0 cars waiting.
Time: 59m0s - Junction D: 2 cars through from North, 1 cars waiting.
Time: 59m30s - Junction D: 1 cars through from North, 0 cars waiting.
Time: 60m0s - Junction D: 0 cars through from North, 0 cars waiting.
