Time: 0m30s - Junction C: 4 cars through from North, 0 cars waiting.
Time: 18m30s - Junction C: 6 cars through from North, 48 cars waiting. GRIDLOCK
Time: 19m0s - Junction C: 6 cars through from South, 3 cars waiting. GRIDLOCK
Time: 19m30s - Junction C: 6 cars through from North, 48 cars waiting. GRIDLOCK
Time: 20m0s - Junction C: 6 cars through from South, 5 cars waiting. GRIDLOCK
Time: 20m30s - Junction C: 2 cars through from North, 50 cars waiting. GRIDLOCK
Time: 21m0s - Junction C: 5 cars through from South, 0 cars waiting.
Time: 21m30s - Junction C: 5 cars through from North, 48 cars waiting. GRIDLOCK
Time: 22m0s - Junction C: 4 cars through from South, 0 cars waiting.
Time: 22m30s - Junction C: 6 cars through from North, 48 cars waiting. GRIDLOCK
Time: 23m0s - Junction C: 2 cars through from South, 0 cars waiting.
Time: 23m30s - Junction C: 0 cars through from North, 50 cars waiting. GRIDLOCK
Time: 24m0s - Junction C: 0 cars through from South, 0 cars waiting.
Time: 24m30s - Junction C: 4 cars through from North, 49 cars waiting. GRIDLOCK
Time: 25m0s - Junction C: 6 cars through from South, 0 cars waiting.
Time: 25m30s - Junction C: 6 cars through from North, 48 cars waiting. GRIDLOCK
Time: 26m0s - Junction C: 6 cars through from South, 1 cars waiting. GRIDLOCK
Time: 26m30s - Junction C: 1 cars through from North, 50 cars waiting. GRIDLOCK
Time: 27m0s - Junction C: 1 cars through from South, 0 cars waiting.
Time: 27m30s - Junction C: 5 cars through from North, 48 cars waiting. GRIDLOCK
Time: 28m0s - Junction C: 5 cars through from South, 0 cars waiting.
Time: 28m30s - Junction C: 6 cars through from North, 48 cars waiting. GRIDLOCK
Time: 29m0s - Junction C: 6 cars through from South, 0 cars waiting.
Time: 29m30s - Junction C: 1 cars through from North, 50 cars waiting. GRIDLOCK
Time: 30m0s - Junction C: 0 cars through from South, 0 cars waiting.
Time: 30m30s - Junction C: 5 cars through from North, 48 cars waiting. GRIDLOCK
Time: 31m0s - Junction C: 6 cars through from South, 1 cars waiting. GRIDLOCK
Time: 31m30s - Junction C: 6 cars through from North, 48 cars waiting. GRIDLOCK
Time: 32m0s - Junction C: 6 cars through from South, 2 cars waiting. GRIDLOCK
Time: 32m30s - Junction C: 3 cars through from North, 50 cars waiting. GRIDLOCK
Time: 33m0s - Junction C: 2 cars through from South, 0 cars waiting.
Time: 33m30s - Junction C: 5 cars through from North, 48 cars waiting. GRIDLOCK
Time: 34m0s - Junction C: 3 cars through from South, 0 cars waiting.
Time: 34m30s - Junction C: 5 cars through from North, 49 cars waiting. GRIDLOCK
Time: 35m0s - Junction C: 6 cars through from South, 2 cars waiting. GRIDLOCK
Time: 35m30s - Junction C: 0 cars through from North, 50 cars waiting. GRIDLOCK
Time: 36m0s - Junction C: 2 cars through from South, 0 cars waiting.
Time: 36m30s - Junction C: 6 cars through from North, 48 cars waiting. GRIDLOCK
Time: 37m0s - Junction C: 6 cars through from South, 1 cars waiting. GRIDLOCK
Time: 37m30s - Junction C: 6 cars through from North, 48 cars waiting. GRIDLOCK
Time: 38m0s - Junction C: 6 cars through from South, 2 cars waiting. GRIDLOCK
Time: 38m30s - Junction C: 6 cars through from North, 48 cars waiting. GRIDLOCK
Time: 39m0s - Junction C: 2 cars through from South, 0 cars waiting.
Time: 39m30s - Junction C: 6 cars through from North, 47 cars waiting. GRIDLOCK
Time: 40m0s - Junction C: 4 cars through from South, 0 cars waiting.
Time: 40m30s - Junction C: 6 cars through from North, 48 cars waiting. GRIDLOCK
Time: 41m0s - Junction C: 6 cars through from South, 4 cars waiting. GRIDLOCK
Time: 41m30s - Junction C: 0 cars through from North, 50 cars waiting. GRIDLOCK
Time: 42m0s - Junction C: 4 cars through from South, 0 cars waiting.
Time: 42m30s - Junction C: 4 cars through from North, 49 cars waiting. GRIDLOCK
Time: 43m0s - Junction C: 6 cars through from South, 3 cars waiting. GRIDLOCK
Time: 43m30s - Junction C: 3 cars through from North, 50 cars waiting. GRIDLOCK
Time: 44m0s - Junction C: 6 cars through from South, 4 cars waiting. GRIDLOCK
Time: 44m30s - Junction C: 0 cars through from North, 50 cars waiting. GRIDLOCK
Time: 45m0s - Junction C: 4 cars through from South, 0 cars waiting.
Time: 45m30s - Junction C: 5 cars through from North, 48 cars waiting. GRIDLOCK
Time: 46m0s - Junction C: 4 cars through from South, 0 cars waiting.
Time: 46m30s - Junction C: 6 cars through from North, 48 cars waiting. GRIDLOCK
Time: 47m0s - Junction C: 6 cars through from South, 1 cars waiting. GRIDLOCK
Time: 47m30s - Junction C: 5 cars through from North, 49 cars waiting. GRIDLOCK
Time: 48m0s - Junction C: 1 cars through from South, 0 cars waiting.
Time: 48m30s - Junction C: 5 cars through from North, 48 cars waiting. GRIDLOCK
Time: 49m0s - Junction C: 6 cars through from South, 4 cars waiting. GRIDLOCK
Time: 49m30s - Junction C: 6 cars through from North, 48 cars waiting. GRIDLOCK
Time: 50m0s - Junction C: 6 cars through from South, 1 cars waiting. GRIDLOCK
Time: 50m30s - Junction C: 2 cars through from North, 50 cars waiting. GRIDLOCK
Time: 51m0s - Junction C: 1 cars through from South, 0 cars waiting.
Time: 51m30s - Junction C: 6 cars through from North, 48 cars waiting. GRIDLOCK
Time: 52m0s - Junction C: 3 cars through from South, 0 cars waiting.
Time: 52m30s - Junction C: 6 cars through from North, 48 cars waiting. GRIDLOCK
Time: 53m0s - Junction C: 5 cars through from South, 0 cars waiting.
Time: 53m30s - Junction C: 0 cars through from North, 50 cars waiting. GRIDLOCK
Time: 54m0s - Junction C: 0 cars through from South, 0 cars waiting.
Time: 54m30s - Junction C: 4 cars through from North, 48 cars waiting. GRIDLOCK
Time: 55m0s - Junction C: 6 cars through from South, 2 cars waiting. GRIDLOCK
Time: 55m30s - Junction C: 6 cars through from North, 48 cars waiting. GRIDLOCK
Time: 56m0s - Junction C: 6 cars through from South, 3 cars waiting. GRIDLOCK
Time: 56m30s - Junction C: 1 cars through from North, 50 cars waiting. GRIDLOCK
Time: 57m0s - Junction C: 3 cars through from South, 0 cars waiting.
Time: 57m30s - Junction C: 5 cars through from North, 48 cars waiting. GRIDLOCK
Time: 58m0s - Junction C: 3 cars through from South, 0 cars waiting.
Time: 58m30s - Junction C: 6 cars through from North, 48 cars waiting. GRIDLOCK
Time: 59m0s - Junction C: 6 cars through from South, 3 cars waiting. GRIDLOCK
Time: 59m30s - Junction C: 0 cars through from North, 50 cars waiting. GRIDLOCK
Time: 60m0s - Junction C: 3 cars through from South, 0 cars waiting.
